"","Geneid","Length","E1_cpm","E2_cpm","E3_cpm","E4_cpm","E5_cpm","E6_cpm","CPM_mean","CPM_stdev"
"103","farp1",8285,0,0,0.190660295689333,0,0,0,0.0317767159482221,0.0778367397745047
"104","si:ch211-235f1.3",3769,0,0,0,0,0,0,0,0
"105","ggact.3",1662,0,0,0,0,0,0,0,0
"106","ggact.2",2176,0,0,0,0,0,0,0,0
"107","ggact.1",1723,0,0,0,0,0,0,0,0
"108","LOC141384360",1971,0,0,0,0,0,0,0,0
"109","LOC141384356",1842,0,0,0,0,0,0,0,0
"110","LOC137495390",929,0,0,0,0,0,0,0,0
"111","LOC141384366",5293,0,0,0,0,0,0,0,0
"112","gpc6a",2208,0,0,0,0,0,0,0,0
"113","LOC141384367",5514,0,0,0,0,0,0,0,0
"114","LOC141384361",9921,0,0,0,0,0,0,0,0
"115","LOC137495391",1360,0,0,0,0,0,0,0,0
"116","LOC101885221",3639,0,0,0,0,0,0,0,0
"117","gpc5a",2555,0,0,0,0,0,0,0,0
"118","LOC141375513",1347,0,0,0,0,0,0,0,0
"119","LOC141384368",1307,0,0,0,0,0,0,0,0
"120","mir92a-1",85,0,0,0,0,0,0,0,0
"121","dre-mir-19b",87,0,0,0,0,0,0,0,0
"122","dre-mir-20a",153,0,0,0,0,0,0,0,0
"123","dre-mir-19a",89,0,0,0,0,0,0,0,0
"124","mir18a",83,0,0,0,0,0,0,0,0
"125","mir17a-1",138,0,0,0,0,0,0,0,0
"126","LOC137495392",8377,0,0,0,0,0,0,0,0
"127","slitrk5",5213,0,0,0,0,0,0,0,0
"128","LOC141384398",1939,0,0,0,0,0,0,0,0
"129","slitrk6",3890,0,0,0,0,0,0,0,0
"130","LOC141384400",4393,0,0,0,0,0,0,0,0
"131","LOC137496058",150,0,0,0,0,0,0,0,0
"132","LOC137495394",2225,0,0,0,0,0,0,0,0
"133","slitrk1",5239,0,0,0,0,0,0,0,0
"134","LOC141375509",4084,0,0,0,0,0,0,0,0
"135","LOC141384377",5044,0,0,0,0,0,0,0,0
"136","spry2",2281,0,0,0,0,0,0,0,0
"137","LOC141384404",1118,0,0,0,0,0,0,0,0
"138","ndfip2",5387,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"139","tuba8l2",1608,0,0.347822064318734,0.381320591378666,0.180708467547018,0.971848780329781,0,0.3136166505957,0.361496545688283
"140","LOC141384402",1357,0,0,0,0,0,0,0,0
"141","stk16",4576,0,0,0,0,0,0,0,0
"142","mnx2b",1152,0,0,0,0,0,0,0,0
"143","atic",2912,0,0,0,0.361416935094036,0,0,0.060236155849006,0.147547845896829
"144","fn1b",8613,0,0.695644128637469,2.85990443533999,2.71062701320527,11.6621853639574,2.45920637721398,3.39792788639235,4.21400647555264
"145","cpo",1162,0,0,0,0,0,0,0,0
"146","nrp2a",12174,0,0,0,0,0,0,0,0
"147","pard3ba",12176,0,0,0,0,0,0,0,0
"148","LOC137494837",4210,0,0,0,0,0,0,0,0
"149","abcb6a",7025,22.7334878389575,24.173633470152,26.1204605094386,115.743773463865,82.1212219378665,85.3207990316738,59.3688960419923,40.1387954823142
"150","cnppd1",2347,0,0,0,0,0,0.0683112882559438,0.011385214709324,0.0278879666498732
"151","prkag3a",3213,0,0,0,0,0,0,0,0
"152","retreg2",2507,0,0,0,0.180708467547018,0,0,0.030118077924503,0.0737739229484146
"153","mdh1b",1525,0,0,0,0,0,0,0,0
"154","fastkd2",2549,0,0,0,0,0.16197479672163,0.136622576511888,0.049766228872253,0.077513222057617
"155","gtf3c3",5134,0,0,0,0,0,0,0,0
"156","hecw2b",7724,0,0,0,0,0,0,0,0
"157","LOC141384432",1989,0,0,0,0,0,0,0,0
"158","klf7a",8308,0,0,0,0,0,0,0,0
"159","LOC141384434",2806,0,0,0,0,0,0,0,0
"160","si:ch211-93g23.2",1533,0,0,0,0,0,0,0,0
"161","ube2f",2373,0,0,0,0,0,0,0,0
"162","erbb4a",5356,0,0,0,0,0,0,0,0
"163","LOC141375510",1971,0,0,0,0,0,0,0,0
"164","LOC141384443",1596,0,0,0,0,0,0,0,0
"165","LOC137496059",102,0,0,0,0,0,0,0,0
"166","si:ch73-383l1.1",5103,0,0,0,0,0,0,0,0
"167","LOC141384472",1619,0,0,0,0,0,0,0,0
"168","LOC103909944",244,0,0,0,0,0,0,0,0
"169","lancl1",2865,0,0,0,0,0,0.0683112882559438,0.011385214709324,0.0278879666498732
"170","mylz3",966,0,0,0,0,0,0.0683112882559438,0.011385214709324,0.0278879666498732
"171","pcnp",1529,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"172","mxa",2679,0,0,0,0,0,0,0,0
"173","mxb",6166,0,0,0,0,0,0,0,0
"174","efnb2b",1005,0,0,0,0,0,0,0,0
"175","arglu1b",1862,0,0,0,0.180708467547018,0,0,0.030118077924503,0.0737739229484146
"176","en1b",1577,0,0,0,0,0,0,0,0
"177","LOC141384475",1560,0,0,0,0,0,0,0,0
"178","LOC141384503",1082,0,0,0,0,0,0,0,0
"179","LOC141384501",228,0,0,0,0,0,0,0,0
"180","LOC141384478",1483,0,0,0,0,0,0,0,0
"181","radil",6677,0,0,0,0,0,0,0,0
"182","LOC103909971",1722,0,0,0,0,0,0,0,0
"183","wu:fc47e11",617,0,0,0,0,0,0,0,0
"184","LOC137489740",88,0,0,0,0,0,0,0,0
"185","LOC137496065",88,0,0,0,0,0,0,0,0
"186","LOC137489738",88,0,0,0,0,0,0,0,0
"187","ifi44a8",1201,0,0,0,0,0,0,0,0
"188","ifi44a7",1870,0,0,0,0,0,0,0,0
"189","ifi44a6",1279,0,0,0,0,0,0,0,0
"190","ifi44a5",2458,0,0,0,0,0,0,0,0
"191","LOC137495402",2573,0,0,0,0,0,0,0,0
"192","ifi44a3",2422,0,0,0,0,0,0,0,0
"193","LOC137487232",3299,0,0,0,0,0,0,0,0
"194","ifi44a1",1969,0,0,0,0,0,0,0,0
"195","si:dkeyp-9d4.3",6849,0,0,0,0,0,0,0,0
"196","slc5a10",5563,0,0,0,0,0,0,0,0
"197","fam83gb",5610,0,0,0,0,0,0,0,0
"198","grapb",3046,0,0,0,0,0,0,0,0
"199","cacna1hb",9127,0,0,0,0,0,0,0,0
"200","LOC141384614",3759,0,0,0,0,0,0,0,0
"201","LOC141375511",1535,0,0,0,0,0,0,0,0
"202","syngr3b",3496,0,0,0,0,0,0,0,0
"203","myo15ab",14112,0,0,0,0,0,0,0,0
"204","LOC137495406",636,0,0,0,0,0,0,0,0
"205","alkbh5",2593,0,0,0,0,0,0,0,0
"206","LOC141384601",5475,0,0,0,0,0,0,0,0
"207","mief2",3094,0,0,0,0,0,0,0,0
"208","smcr8b",3657,0,0,0,0,0,0,0,0
"209","zgc:112980",2425,0,0,0,0,0,0,0,0
"210","ptcd1",2339,0,0,0,0,0,0,0,0
"211","si:ch211-160d14.9",9931,0,0,0,0,0,0,0,0
"212","LOC141375512",2784,0,0,0,0,0,0,0,0
"213","slc29a4b",3605,0,0,0,0,0,0,0,0
"214","zgc:153118",1243,0,0,0,0,0,0,0,0
"215","LOC101883376",1657,0,0,0,0,0,0,0,0
"216","LOC103911895",801,0,0,0,0,0,0,0,0
"217","fbxl18",2640,0,0,0,0,0,0,0,0
"218","actb1",1730,0,0.869555160796836,0,0,0.32394959344326,0,0.198917459040016,0.353174343262601
"219","LOC137495411",3689,0,0,0,0,0,0,0,0
"220","fscn1b",3825,0,0,0,0,0,0,0,0
"221","abcg2b",3461,0.378891463982625,16.1737259908212,0,0.180708467547018,0.16197479672163,1.77609349465454,3.11189903562116,6.43184074751565
"222","hapstr1b",3481,0,0.173911032159367,0.381320591378666,0.180708467547018,0.16197479672163,0,0.149652481301113,0.141539135630281
"223","grin2ab",7368,0,0,0,0,0,0,0,0
"224","LOC141384642",5727,0,0,0,0,0,0,0,0
"225","tlr2",7978,0,0,0,0,0,0,0,0
"226","socs1b",632,0,0,0,0,0,0,0,0
"227","si:ch73-191k20.4",422,0,0,0,0,0,0,0,0
"228","prkcba",3776,0,0,0,0,0,0,0,0
"229","LOC137489970",1520,0,0,0,0,0,0,0,0
"230","cacng3a",7685,0,0,0,0,0,0,0,0
"231","si:ch211-14k19.8",3894,0,0,0,0,0,0,0,0
"232","ndufab1a",747,0,0,0,0,0,0,0,0
"233","palb2",4105,0,0,0,0,0,0,0,0
"234","rasd3",939,0,0,0,0,0,0,0,0
"235","plk1",2344,0,0,0,0,0,0,0,0
"236","ern2",8540,0,0,0,0,0,0,0,0
"237","LOC137489971",108,0,0,0,0,0,0,0,0
"238","chtf18",4236,0,0,0,0,0,0,0,0
"239","gng13a",585,0,0,0,0,0,0,0,0
"240","si:dkeyp-57d7.4",1933,0,0,0,0,0,0,0,0
"241","zgc:136472",1709,0,0.347822064318734,0,0,0,0,0.0579703440531224,0.141997763143735
"242","ubn1",1357,0,0,0,0,0,0,0,0
"243","uncx4.1",2326,0,0,0,0,0,0,0,0
"244","micall2b",3683,0,0,0,0,0,0,0,0
"245","gaa2",5792,0,0,0,0,0.16197479672163,0.273245153023775,0.0725366582909009,0.117753426827362
"246","elfn1b",9039,0,0,0,0,0,0,0,0
"247","ugt5b5",1742,2.55751738188272,3.99995373966545,1.42995221767,7.13798446810721,3.48245812951505,5.25996919570767,3.97797252209135,2.0191735405552
"248","ugt5b6",2038,1333.41378462085,605.036480882438,448.147025017777,817.705815650257,488.83993650588,877.458497647598,761.766923387467,328.847942493139
"249","ugt5b4",2310,213.789508552196,131.563695828561,104.577172185599,64.964694083153,35.6344552787586,74.8008606402585,104.221731094754,63.029713957668
"250","ugt5b3",2089,34.0055088924406,42.1734252986465,6.76844049697131,11.8364046243297,4.04936991804075,11.4762964269986,18.3849076095712,15.7541010989832
"251","ugt5b2",2019,734.954717260296,244.69282224823,210.107645849645,224.53027092717,85.7656548641031,198.854160113052,283.150878543749,228.229833070976
"252","ugt5b1",2289,36.9419177383059,18.1737028606539,12.297589071962,21.5043076380952,17.5742654442969,28.0759394731929,22.4279537044178,8.80555784526717
"253","mad1l1",3140,0,0,0,0,0,0,0,0
"254","pmm2",1146,0,0,0,0,0,0,0,0
"255","ints15",3393,0,0,0,0,0,0,0,0
"256","rgs11",2061,0,0,0,0,0,0,0,0
"257","pgap6",6041,0,0,0,0,0,0,0,0
"258","percc1",2749,0,0,0,0,0,0,0,0
"259","pdia2",2060,0,0,0,0,0,0,0,0
"260","si:dkeyp-75b4.8",1696,0,0,0,0,0,0,0,0
"261","LOC101884122",1451,0,0,0,0,0,0,0,0
"262","ifi44b",3289,0,0,0,0,0,0,0,0
"263","eslec",1362,0,0,0,0,0,0,0,0
"264","trim2b",3338,0,0,0,0,0,0,0,0
"265","rnf175",1556,0,0,0,0,0,0,0,0
"266","fgb",1819,2.84168597986969,2.78257651454988,8.38905301033064,5.60196249395756,17.0073536557712,8.8804674732727,7.58384985462527,5.30283348169044
"267","LOC100536670",3708,0,0,0,0,0,0,0,0
"268","fga",2349,2.55751738188272,5.47819751302007,11.0582971499813,3.07204394829931,18.0601898344618,4.23529987186852,7.41025761658561,6.04833278225187
"269","lratb.1",3262,0,0,0,0,0,0,0,0
"270","lratb.2",822,0,0,0,0,0,0,0,0
"271","LOC141384763",517,0,0,0,0,0,0,0,0
"272","rbm46",2086,0,0,0,0,0,0,0,0
"273","npy2rl",9989,0,0,0,0,0,0,0,0
"274","LOC137495431",12322,0,0,0,0,0,0,0,0
"275","eif3f",893,0.378891463982625,0.173911032159367,0,0.542125402641054,1.29579837377304,1.63947091814265,0.671699531783123,0.652315949781503
"276","zgc:77880",1672,0,0,0,0,0,0,0,0
"277","pip4p1b",1217,0,0,0,0,0,0,0,0
"278","LOC557811",4669,0,0,0,0,0,0,0,0
"279","dachb",3527,0,0,0,0,0,0,0,0
"280","cnpy3",1609,0,0,0,0,0,0,0,0
"281","trpc5a",5897,0,0,0,0,0,0,0,0
"282","zgc:174945",2307,0,0,0,0,0,0,0,0
"283","si:dkey-31e10.1",1662,0,0,0,0,0,0,0,0
"284","si:dkey-31e10.5",1705,0,0,0,0,0,0,0,0
"285","si:dkey-31e10.6p",2814,0,0,0,0,0,0,0,0
"286","mpc2a",3701,0.189445731991312,0,0,0.180708467547018,0.16197479672163,0.136622576511888,0.111458595461975,0.0882141573496444
"287","atp1b1b",2348,0,0,0,0,0,0,0,0
"288","LOC141384773",1545,0,0,0,0,0,0,0,0
"289","LOC100334711",5260,0,0,0,0,0,0,0,0
"290","cfap221",5814,0,0,0,0,0,0,0,0
"291","crfb15",3652,0,0,0,0,0,0,0,0
"292","dmd",14242,0,0,0,0,0,0,0,0
"293","LOC137495441",810,0,0,0,0,0,0,0,0
"294","knl1",5903,0,0,0,0,0,0,0,0
"295","knstrn",2397,0,0,0,0,0,0,0,0
"296","sdk1b",9429,0,0,0,0,0,0,0,0
"297","LOC141384871",4382,0,0,0,0,0,0,0,0
"298","chst12b.6",3172,0,0,0,0,0,0,0,0
"299","chst12b.5",1605,0,0,0,0,0,0,0,0
"300","LOC797518",4640,0,0,0,0,0,0,0,0
"301","chst12b.4",1581,0,0,0,0,0,0,0,0
"302","LOC100536144",3680,0,0,0,0,0,0,0,0
"303","chst12b.3",1381,0,0,0,0,0,0,0,0
"304","brat1",4478,0,0,0,0,0,0,0,0
"305","LOC141384843",3352,0,0,0,0,0,0,0,0
"306","si:dkey-26i13.8",4324,0,0,0,0,0,0,0,0
"307","chst12b.1",6356,0,0,0,0,0,0,0,0
"308","zmp:0000001069",5922,0,0,0,0,0,0,0,0
"309","ttyh3b",6371,0,0,0,0,0,0,0,0
"310","iqce",3497,0,0,0,0,0,0,0,0
"311","snx8b",4298,0,0,0,0,0,0,0,0
"312","grk4",7263,0,0,0,0,0,0,0,0
"313","tspan5b",5049,0,0,0,0,0,0,0,0
"314","slc24a2",5888,0,0,0,0,0,0,0,0
"315","saraf",1907,0,0,0.381320591378666,0.180708467547018,0,0,0.0936715098209473,0.158376029208812
"316","pla2g12a",3187,0,0,0,0,0,0,0,0
"317","LOC110439783",1188,0,0,0,0,0,0,0,0
"318","xpa",4927,0,0,0,0,0,0,0,0
"319","mttp",3149,0,0,0,0,0.48592439016489,0.136622576511888,0.103757827779463,0.195035443146517
"320","spink4",383,0,0,0,0,0,0,0,0
"321","b4galt1",2566,0,0,0,0,0,0,0,0
"322","LOC141384873",3043,0,0,0,0,0,0,0,0
"323","stra6l",3821,0,0,0,0,0.16197479672163,0,0.026995799453605,0.0661259338598372
"324","si:ch211-134c9.2",555,0,0,0,0,0,0,0,0
"325","tdrd7a",4838,0,0,0,0,0,0,0,0
"326","tmod1",4129,0,0,0,0,0,0,0,0
"327","cplx2a",2129,0,0,0,0,0,0,0,0
"328","gne",3811,0,0,0,0,0,0,0,0
"329","nansa",2732,0,0,0,0,0.16197479672163,0.136622576511888,0.049766228872253,0.077513222057617
"330","clta",1328,0,0,0,0,0,0,0,0
"331","sclt1",5003,0,0,0,0,0,0,0,0
"332","zgc:77739",1242,0,0.347822064318734,0,0,0,0,0.0579703440531224,0.141997763143735
"333","LOC141384915",5349,0,0,0,0,0,0,0,0
"334","LOC137489976",1645,0,0,0,0,0,0,0,0
"335","LOC101884032",1267,0,0,0,0,0,0,0,0
"336","pcdh10a",4740,0,0,0,0,0,0,0,0
"337","LOC137495459",1928,0,0,0,0,0,0,0,0
"338","pcdh18a",4478,0,0,0,0,0,0,0,0
"339","LOC137489979",16945,0,0,0,0,0,0,0,0
"340","LOC101886760",2278,0,0,0,0,0,0,0,0
"341","LOC101886839",2735,0,0,0,0,0,0,0,0
"342","noctb",3610,0,0,0,0,0,0,0,0
"343","elf2b",5089,0,0,0,0,0,0,0,0
"344","mgarpb",2458,0,0,0,0,0,0,0,0
"345","hpf1",1842,0,0,0,0,0,0,0,0
"346","ank2a",17266,0,0,0,0,0,0,0,0
"347","LOC141385202",3590,0,0,0,0,0,0,0,0
"348","camk2d2",3732,0,0,0,0,0,0,0,0
"349","LOC141385205",2980,0,0,0,0,0,0,0,0
"350","LOC141385233",3517,0,0,0,0,0,0,0,0
"351","cxcl8a",626,0,0,0,0,0,0,0,0
"352","pde5aa",3971,0,0,0,0,0,0,0,0
"353","ppp2r2ca",7474,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"354","wfs1a",3889,0,0,0,0,0,0,0,0
"355","crmp1",5823,0,0,0,0,0,0,0,0
"356","LOC567498",2437,0,0,0,0,0,0,0,0
"357","fip1l1b",2242,0,0,0,0,0,0,0,0
"358","LOC553528",4650,0,0,0,0,0,0,0,0
"359","chic2",3035,0,0,0,0,0,0,0,0
"360","slc34a2aas",1353,0,0,0,0,0,0,0,0
"361","slc34a2a",2607,0,0,0,0,0,0,0,0
"362","rbpja",5279,0,0,0,0,0,0,0,0
"363","stim2a",7960,0,0,0,0,0,0,0,0
"364","LOC101882365",2254,0,0,0,0,0,0,0,0
"365","LOC141385272",1563,0,0,0,0,0,0,0,0
"366","LOC100004921",1686,0,0,0,0,0,0,0,0
"367","LOC137495467",4055,0,0,0,0,0,0,0,0
"368","LOC100004978",2778,0,0,0,0,0,0,0,0
"369","LOC110437782",2888,0,0,0,0,0,0,0,0
"370","LOC100332745",3421,0,0,0,0,0,0,0,0
"371","LOC103911970",2427,0,0,0,0,0,0,0,0
"372","LOC100005071",1307,0,0,0,0,0,0,0,0
"373","LOC141375002",6118,0,0,0,0,0,0,0,0
"374","LOC141385391",4191,0,0,0,0,0,0,0,0
"375","LOC141385403",3962,0,0,0,0,0,0,0,0
"376","LOC141385437",5659,0,0,0,0,0,0,0,0
"377","LOC141385411",3090,0,0,0,0,0,0,0,0
"378","LOC141385414",3613,0,0,0,0,0,0,0,0
"379","LOC141385418",8194,0,0,0,0,0,0,0,0
"380","LOC141385416",4893,0,0,0,0,0,0,0,0
"381","LOC141385425",5057,0,0,0,0,0,0,0,0
"382","LOC141385376",5044,0,0,0,0,0,0,0,0
"383","LOC141374986",9867,0,0,0,0,0,0,0,0
"384","LOC141385447",2340,0,0,0,0,0,0,0,0
"385","LOC141385408",4559,0,0,0,0,0,0,0,0
"386","LOC141385379",4848,0,0,0,0,0,0,0,0
"387","LOC141385440",2302,0,0,0,0,0,0,0,0
"388","LOC100330143",2718,0,0,0,0,0,0,0,0
"389","LOC108185170",2304,0,0,0,0,0,0,0,0
"390","LOC100537170",5098,0,0,0,0,0,0,0,0
"391","LOC141385531",3841,0,0,0,0,0,0,0,0
"392","LOC141374995",6766,0,0,0,0,0,0,0,0
"393","LOC141385529",3808,0,0,0,0,0,0,0,0
"394","LOC141375003",1294,0,0,0,0,0,0,0,0
"395","LOC141375006",3836,0,0,0,0,0,0,0,0
"396","LOC137487303",2839,0,0,0,0,0,0,0,0
"397","LOC141385532",1348,0,0,0,0,0,0,0,0
"398","LOC100330441",1366,0,0,0,0,0,0,0,0
"399","LOC141385530",2822,0,0,0,0,0,0,0,0
"400","LOC110438568",1671,0,0,0,0,0,0,0,0
"401","LOC141385533",4222,0,0,0,0,0,0,0,0
"402","LOC103911400",1108,0,0,0,0,0,0,0,0
"403","LOC101886102",667,0,0,0,0,0,0,0,0
"404","LOC141385535",2045,0,0,0,0,0,0,0,0
"405","LOC141385534",3119,0,0,0,0,0,0,0,0
"406","LOC141375514",3921,0,0,0,0,0,0,0,0
"407","LOC137495476",825,0,0,0,0,0,0,0,0
"408","pcdh7a",10507,0,0,0,0,0,0,0,0
"409","itln1",1555,0,0,0,0,0,0,0,0
"410","hgsnat",2862,0,0,0,0.180708467547018,0,0,0.030118077924503,0.0737739229484146
"411","pi4k2b",2330,0,0,0,0,0.32394959344326,0,0.05399159890721,0.132251867719674
"412","dlc1",9138,0,0,0,0,0,0.136622576511888,0.0227704294186479,0.0557759332997464
"413","LOC137495478",1157,0,0,0,0,0,0,0,0
"414","LOC137495477",1161,0,0,0,0,0,0,0,0
"415","LOC141385537",6161,0,0,0,0,0,0,0,0
"416","sgcz",4200,0,0,0,0,0,0,0,0
"417","LOC141385542",5769,0,0,0,0,0,0,0,0
"418","tusc3",1136,0,0,0,0,0,0,0,0
"419","LOC137495480",2154,0,0,0,0,0,0,0,0
"420","LOC137495095",1535,0,0,0,0,0,0,0,0
