target name,length,GC,probe count,mean depth,proportion covered,coverage std dev
NM_001002599.1,927,0.436,21,1.812,0.983,0.695
NM_001007372.1,723,0.465,19,2.073,0.952,0.816
NM_200452.1,450,0.456,12,2.076,0.989,0.765
XM_021470464.1,513,0.495,13,1.982,0.967,0.827
NM_001089508.1,480,0.542,10,1.667,0.925,0.734
NM_001113589.1,1932,0.543,53,2.167,0.994,0.71
NM_001145708.1,1581,0.511,35,1.764,0.979,0.624
NM_001045256.1,1581,0.514,35,1.764,0.977,0.628
NM_001006104.1,1428,0.502,34,1.892,0.981,0.651
XM_017353549.2,1428,0.496,34,1.889,0.98,0.657
XM_005156972.4,1803,0.543,44,1.95,0.976,0.671
XM_005156971.4,1803,0.543,44,1.95,0.976,0.671
XM_005156973.4,1779,0.543,44,1.957,0.975,0.682
NM_174862.3,1779,0.544,44,1.958,0.975,0.682
NM_001204272.1,870,0.472,20,1.806,0.956,0.851
NM_205542.2,828,0.478,18,1.739,0.949,0.842
XM_021466610.1,2250,0.566,55,1.948,0.965,0.755
XM_021466611.1,2169,0.568,54,1.983,0.966,0.744
NM_152981.1,1782,0.559,43,1.908,0.966,0.723
XM_021478814.1,2154,0.5,47,1.746,0.96,0.677
XM_002667046.6,1683,0.478,39,1.854,0.979,0.712
XM_681430.7,1722,0.505,42,1.951,0.998,0.675
NM_001328002.1,642,0.481,16,1.994,0.978,0.679
NM_212720.2,1245,0.497,29,1.863,0.945,0.824
XM_009307306.3,2709,0.493,78,2.303,0.97,0.773
NM_001001840.3,2709,0.493,78,2.303,0.97,0.773
XM_005156814.4,2691,0.493,78,2.312,0.97,0.768
XM_005165120.4,2538,0.515,63,1.975,0.942,0.79
XM_021476023.1,2538,0.515,63,1.975,0.942,0.79
XM_005165121.4,2538,0.515,63,1.975,0.942,0.79
NM_178299.1,2538,0.515,63,1.973,0.942,0.791
NM_001309465.1,6807,0.527,161,1.886,0.974,0.724
NM_001177340.2,1560,0.453,42,2.075,0.971,0.916
NM_212659.1,1116,0.459,26,1.864,0.964,0.669
NM_001137555.1,669,0.501,15,1.794,0.921,0.818
XM_021478207.1,2250,0.575,59,2.07,0.965,0.826
NM_200136.1,2178,0.579,57,2.079,0.964,0.834
NM_001002048.1,948,0.466,22,1.857,0.958,0.727
NM_001331156.1,1278,0.502,28,1.728,0.965,0.698
NM_001075111.2,1377,0.502,31,1.778,0.956,0.762
XM_017353837.2,1281,0.503,28,1.731,0.965,0.702
XM_021470189.1,1380,0.502,31,1.78,0.956,0.765
NM_001077787.1,1143,0.43,21,1.47,0.896,0.759
XM_021477958.1,2073,0.538,51,1.966,0.982,0.733
XM_693928.6,2073,0.538,51,1.967,0.982,0.731
NM_200235.1,1512,0.452,41,2.12,0.981,0.814
NM_001003736.1,1533,0.485,40,2.001,0.971,0.832
NM_001003521.2,816,0.477,16,1.569,0.926,0.721
NM_001136185.1,240,0.433,5,1.667,0.867,0.925
NM_001110403.1,1950,0.499,48,1.959,0.985,0.634
NM_001002461.1,324,0.469,6,1.481,0.901,0.705
XM_001343182.8,2133,0.503,50,1.875,0.992,0.601
NM_198821.1,1083,0.436,26,1.91,0.959,0.76
XM_005167678.4,1083,0.435,25,1.845,0.956,0.77
XM_021478626.1,1017,0.438,24,1.88,0.969,0.75
NM_001109699.1,1494,0.487,32,1.714,0.967,0.653
NM_001177491.2,1575,0.434,49,2.395,0.992,0.824
NM_001114849.1,1365,0.471,32,1.855,0.973,0.737
NM_131310.3,2178,0.512,52,1.889,0.961,0.787
XM_009295473.3,1311,0.565,37,2.236,0.986,0.691
XM_005161344.4,1326,0.563,37,2.211,0.975,0.727
NM_212955.1,1311,0.565,37,2.236,0.986,0.691
NM_001077458.1,1497,0.452,49,2.482,0.964,1.465
XM_002666734.5,1698,0.595,37,1.743,0.968,0.658
XM_021473816.1,1698,0.595,37,1.743,0.968,0.658
XM_021470442.1,1581,0.52,40,2.024,0.979,0.669
XM_021470441.1,1581,0.52,40,2.024,0.979,0.669
NM_130912.2,1581,0.52,40,2.024,0.979,0.669
NM_199976.1,675,0.493,17,2.015,0.97,0.714
NM_131397.3,1932,0.544,52,2.128,0.995,0.653
XM_009302938.3,2217,0.543,60,2.13,0.978,0.781
XM_009302939.3,2172,0.545,58,2.103,0.977,0.747
XM_009302940.3,2169,0.544,57,2.072,0.976,0.769
NM_131674.1,2214,0.547,59,2.097,0.974,0.81
NM_001177494.1,1596,0.435,52,2.511,0.974,1.016
NM_001361514.1,1605,0.431,53,2.547,0.97,0.968
NM_001361513.1,1605,0.431,53,2.547,0.97,0.968
XM_021468818.1,1971,0.492,49,1.984,0.987,0.722
NM_001014310.2,1890,0.495,48,2.014,0.991,0.707
NM_001002092.2,1323,0.454,38,2.155,0.937,1.1
XM_017353539.2,1518,0.451,48,2.36,0.966,1.044
XM_009297112.3,1017,0.453,30,2.2,0.931,1.121
NM_001005953.1,429,0.434,8,1.492,0.914,0.78
NM_001083049.1,1491,0.435,42,2.131,0.98,1.139
XM_005157658.4,1647,0.45,40,1.943,0.967,0.766
NM_001007281.2,576,0.505,11,1.528,0.958,0.623
NM_212724.1,1536,0.489,36,1.875,0.971,0.625
NM_213186.1,2634,0.469,70,2.115,0.98,0.72
XM_021468041.1,2631,0.469,67,2.036,0.956,0.752
XM_021468042.1,2574,0.471,68,2.101,0.983,0.685
NM_001042686.1,2076,0.484,49,1.888,0.994,0.601
XM_021473111.1,5112,0.544,119,1.862,0.952,0.759
XM_021473114.1,5112,0.544,119,1.862,0.952,0.759
XM_009299214.3,5112,0.544,119,1.862,0.952,0.759
XM_021473118.1,5112,0.544,119,1.862,0.952,0.759
NM_131642.2,1536,0.493,34,1.771,0.908,0.894
XM_021470523.1,1542,0.494,35,1.816,0.925,0.858
NM_131526.2,303,0.475,6,1.584,0.898,0.84
NM_001328390.1,303,0.475,6,1.584,0.898,0.84
NM_001328391.1,300,0.473,6,1.6,0.907,0.829
NM_199613.1,936,0.481,23,1.966,0.953,0.876
NM_001308830.1,900,0.431,27,2.318,0.97,0.987
XM_021479694.1,2370,0.487,61,2.059,0.996,0.612
XM_001332722.8,579,0.506,11,1.52,0.843,0.901
XM_017351362.2,726,0.455,19,2.003,0.959,0.936
XM_005158364.4,726,0.455,19,2.003,0.959,0.936
NM_001040300.1,651,0.445,18,2.103,0.994,0.859
XM_005158366.4,672,0.463,18,2.004,0.93,0.974
XM_009292460.3,834,0.448,22,2.022,0.978,0.942
XM_687463.8,1515,0.446,45,2.251,0.959,1.16
XM_694808.9,1491,0.59,36,1.915,0.968,0.75
NM_001017544.1,2145,0.504,51,1.902,0.996,0.681
XM_021470222.1,1773,0.46,47,2.106,0.987,0.671
XM_005162867.4,1353,0.47,36,2.108,0.976,0.773
NM_001076717.2,1815,0.46,49,2.144,0.987,0.692
XM_009292793.3,1662,0.442,38,1.827,0.966,0.734
NM_001114460.1,1665,0.443,39,1.87,0.965,0.714
XM_021467244.1,978,0.434,25,2.026,0.967,0.731
NM_001099236.1,642,0.503,14,1.745,0.916,0.763
NM_200805.1,669,0.49,15,1.794,0.933,0.818
NM_001025554.2,1482,0.429,40,2.095,0.974,0.8
NM_001201361.1,1851,0.479,47,2.005,0.989,0.702
XM_005166405.4,1731,0.482,44,2.006,0.988,0.74
XM_021477365.1,1659,0.477,43,2.03,1,0.683
XM_021477364.1,1851,0.479,47,2.005,0.989,0.702
NM_153656.1,1794,0.492,38,1.695,0.936,0.759
NM_181330.3,1728,0.519,40,1.852,0.981,0.657
XM_686725.7,1539,0.483,35,1.81,0.969,0.675
XM_021473870.1,1539,0.483,35,1.808,0.968,0.678
XM_005163981.4,1422,0.49,36,2.023,0.986,0.707
NM_173221.2,1422,0.492,36,2.02,0.985,0.711
NM_001144811.2,1590,0.475,42,2.035,0.968,0.792
XM_021477109.1,1113,0.504,25,1.791,0.95,0.699
XM_002662423.5,1113,0.504,25,1.791,0.95,0.699
XM_021474092.1,1113,0.504,25,1.795,0.952,0.694
XM_009299438.3,1842,0.556,49,2.123,0.983,0.774
NM_152959.1,1710,0.547,45,2.096,0.998,0.732
XM_021476081.1,543,0.486,12,1.768,0.985,0.632
NM_001002670.2,498,0.494,11,1.739,0.976,0.671
NM_183347.2,906,0.427,24,2.05,0.937,0.958
XM_017357538.2,906,0.423,34,2.798,0.967,1.1
NM_001139481.3,906,0.423,34,2.798,0.967,1.1
XM_005158690.4,1641,0.477,40,1.928,0.951,0.804
NM_200349.1,1641,0.478,40,1.925,0.949,0.807
XM_021467126.1,1653,0.463,44,2.106,0.995,0.645
XM_021467125.1,1683,0.461,44,2.081,0.99,0.667
NM_001082872.1,729,0.476,17,1.866,0.966,0.702
NM_200139.1,1491,0.433,42,2.158,0.95,1.093
NM_001002621.1,723,0.469,16,1.75,0.88,0.945
XM_009297336.3,4518,0.558,106,1.869,0.962,0.698
XM_009297338.3,4308,0.555,100,1.855,0.961,0.7
NM_131777.1,4518,0.558,106,1.87,0.963,0.697
XM_021470228.1,4515,0.558,106,1.87,0.963,0.697
NM_001177336.1,1596,0.468,48,2.326,0.982,0.918
NM_001199969.2,1506,0.458,45,2.314,0.972,1.18
XM_021480762.1,666,0.488,15,1.802,0.958,0.682
XM_001342578.6,666,0.488,15,1.802,0.958,0.682
XM_021476831.1,1086,0.496,24,1.759,0.971,0.728
NM_213332.2,1392,0.49,31,1.782,0.957,0.757
XM_005163922.4,1932,0.543,53,2.169,0.995,0.695
XM_003198110.5,1932,0.546,53,2.17,0.996,0.69
NM_001362359.1,1932,0.543,53,2.169,0.995,0.695
NM_131849.2,1131,0.53,24,1.698,0.937,0.755
NM_001083035.2,1491,0.44,50,2.489,0.962,1.081
XM_009292000.3,1968,0.577,38,1.545,0.927,0.69
XM_005166733.4,1464,0.501,34,1.858,0.975,0.691
NM_001123241.1,1461,0.5,34,1.862,0.964,0.716
NM_001003455.1,1023,0.496,24,1.877,0.974,0.688
NM_001080179.1,1773,0.47,41,1.85,0.98,0.644
NM_131264.1,3084,0.493,72,1.868,0.996,0.603
NM_198064.1,2157,0.482,54,2.003,0.979,0.614
NM_001105670.1,1488,0.579,31,1.667,0.917,0.784
XM_005172465.2,906,0.436,25,2.125,0.949,0.933
NM_183348.2,906,0.435,27,2.258,0.95,0.955
XM_005164701.4,4752,0.5,117,1.965,0.983,0.695
XM_017355034.2,4749,0.5,116,1.949,0.974,0.719
XM_005164702.4,4752,0.498,117,1.968,0.985,0.69
XM_017355035.2,4713,0.498,117,1.981,0.98,0.694
XM_005164705.4,4716,0.5,118,1.994,0.988,0.674
XM_005164707.4,4674,0.5,116,1.982,0.978,0.702
XM_005164706.4,4677,0.5,117,1.998,0.988,0.677
NM_001030154.1,4677,0.5,117,1.997,0.988,0.677
NM_213422.2,1611,0.46,43,2.081,0.975,0.826
XM_694062.9,1833,0.536,40,1.746,0.958,0.708
XM_017351677.2,1929,0.519,48,1.978,0.978,0.735
XM_017351675.2,2016,0.52,50,1.962,0.979,0.728
XM_017351676.2,1968,0.523,50,1.999,0.992,0.691
NM_001045435.1,1236,0.509,33,2.077,0.999,0.735
NM_001430855.1,2016,0.52,50,1.962,0.979,0.728
NM_001430854.1,1968,0.523,50,1.999,0.992,0.691
NM_001037418.1,891,0.418,28,2.378,0.929,1.116
XM_021468515.1,1506,0.431,49,2.481,0.977,0.976
NM_001430839.1,1506,0.431,49,2.481,0.977,0.976
NM_001309823.1,1218,0.502,29,1.905,0.974,0.671
NM_131204.2,1218,0.502,29,1.905,0.974,0.671
XM_689787.7,2232,0.489,52,1.864,0.962,0.695
NM_001423974.1,2232,0.489,52,1.864,0.962,0.695
XM_005166772.4,1773,0.464,47,2.121,0.986,0.774
NM_001128285.1,1599,0.466,43,2.151,0.987,0.794
NM_001076656.1,936,0.45,20,1.708,0.918,0.759
XM_017356913.2,936,0.449,20,1.709,0.919,0.757
NM_001089476.1,1251,0.48,28,1.791,0.946,0.677
NM_001291499.1,2022,0.458,50,1.978,0.973,0.72
NM_001025504.2,1821,0.461,43,1.889,0.98,0.599
XM_017351905.2,4281,0.538,107,1.995,0.974,0.742
NM_001195613.1,4281,0.538,107,1.997,0.975,0.74
XM_681911.7,2142,0.479,56,2.087,0.986,0.647
XM_021467412.1,2067,0.476,55,2.123,0.992,0.619
XM_005158536.4,2067,0.476,55,2.123,0.992,0.619
XM_021473164.1,2142,0.476,56,2.088,0.986,0.647
XM_021473165.1,2067,0.473,55,2.124,0.992,0.616
XM_021473167.1,2067,0.473,55,2.124,0.992,0.616
NM_001004587.2,1536,0.481,42,2.115,0.986,0.863
XM_002663399.5,1575,0.465,47,2.331,0.967,0.934
XM_005168339.4,2463,0.489,54,1.751,0.958,0.703
NM_178295.2,2463,0.489,54,1.751,0.958,0.703
NM_001328208.1,1326,0.506,30,1.81,0.968,0.699
XM_021467641.1,1275,0.506,29,1.82,0.973,0.696
XM_009293553.3,1275,0.506,29,1.82,0.973,0.696
XM_021467640.1,1326,0.506,30,1.81,0.968,0.699
XM_009299973.3,2133,0.528,49,1.838,0.973,0.632
XM_005164471.4,2133,0.528,49,1.838,0.973,0.632
XM_009299972.3,2133,0.528,49,1.838,0.973,0.632
NM_001044997.3,2070,0.528,50,1.907,0.986,0.62
XM_009299975.3,1899,0.525,45,1.874,0.983,0.627
XM_021470125.1,1971,0.473,48,1.948,0.976,0.72
NM_213482.1,1971,0.473,48,1.928,0.976,0.73
XM_005163063.3,657,0.473,14,1.705,0.913,0.806
XM_005163062.2,657,0.473,14,1.705,0.913,0.806
NM_001025184.1,657,0.472,14,1.703,0.912,0.808
NM_001080692.1,1596,0.426,51,2.447,0.971,1.069
NM_001131053.2,183,0.525,3,1.311,0.809,0.853
NM_200589.2,4704,0.517,110,1.871,0.978,0.66
NM_001113337.2,1623,0.524,36,1.774,0.951,0.76
NM_201068.1,1371,0.468,31,1.809,0.977,0.636
XM_009299335.3,1569,0.496,36,1.829,0.965,0.742
NM_213290.1,1419,0.491,35,1.946,0.982,0.753
XM_021480549.1,1131,0.464,30,2.095,0.986,0.685
NM_203460.1,1131,0.464,30,2.095,0.986,0.685
XM_691171.6,2229,0.524,55,1.972,0.978,0.671
NM_001310132.1,2229,0.525,55,1.972,0.978,0.672
XM_009299212.3,1518,0.445,42,2.14,0.981,0.751
NM_200509.1,1518,0.448,42,2.138,0.983,0.762
XM_021476739.1,1782,0.637,42,1.88,0.99,0.657
XM_005168685.3,1782,0.637,42,1.88,0.99,0.657
NM_001113477.1,1782,0.637,42,1.882,0.992,0.653
NM_200881.1,960,0.514,20,1.667,0.929,0.74
XM_001335344.6,1017,0.491,23,1.809,0.956,0.692
NM_001040188.1,1077,0.503,26,1.919,0.936,0.854
XM_005163177.4,1146,0.505,28,1.941,0.932,0.886
NM_001080034.2,423,0.489,9,1.702,0.936,0.751
NM_001013565.1,1476,0.436,43,2.218,0.951,1.042
XM_017351894.2,1671,0.469,44,2.104,0.952,0.816
NM_001177500.1,1578,0.466,43,2.155,0.961,0.791
NM_198914.2,864,0.497,25,2.227,0.965,0.99
XM_005155998.3,864,0.503,26,2.336,0.973,1.007
XM_021470491.1,2346,0.498,60,2.037,0.957,0.739
XM_005170687.4,4785,0.495,128,2.13,0.98,0.698
NM_001172647.2,4746,0.493,128,2.141,0.984,0.684
XM_009298033.3,4605,0.493,125,2.161,0.987,0.671
XM_021475074.1,1734,0.562,43,1.972,0.968,0.726
XM_021475072.1,1758,0.56,44,1.974,0.968,0.733
XM_021475073.1,1737,0.562,43,1.969,0.968,0.705
NM_001159585.1,1761,0.56,44,1.97,0.968,0.713
NM_001324539.1,1314,0.593,34,2.04,0.967,0.752
XM_021469980.1,11076,0.51,305,2.196,0.994,0.692
XM_021469978.1,11079,0.51,305,2.195,0.994,0.69
XM_021469976.1,11103,0.51,307,2.204,0.994,0.691
XM_021469984.1,11028,0.51,305,2.201,0.994,0.691
XM_021469975.1,11106,0.51,307,2.203,0.994,0.692
XM_009296943.3,11067,0.51,307,2.21,0.994,0.688
XM_021469985.1,10977,0.51,304,2.205,0.994,0.689
XM_021469988.1,10509,0.512,294,2.221,0.996,0.682
XM_021469987.1,10512,0.512,294,2.221,0.996,0.679
XM_009296946.3,10665,0.511,298,2.225,0.996,0.68
XM_009296945.3,10749,0.511,299,2.214,0.994,0.69
XM_009296944.3,10815,0.511,301,2.214,0.994,0.691
XM_009296942.3,11070,0.51,306,2.201,0.994,0.694
XM_021469983.1,11046,0.51,305,2.2,0.994,0.688
XM_009296941.3,11103,0.51,305,2.189,0.993,0.7
XM_021469977.1,11088,0.51,307,2.204,0.994,0.694
XM_021469982.1,11049,0.509,306,2.204,0.994,0.694
XM_021469981.1,11058,0.51,307,2.208,0.994,0.694
XM_002661372.6,2772,0.504,62,1.789,0.926,0.759
NM_001076723.1,1575,0.431,49,2.386,0.966,0.972
NM_001177344.2,1563,0.448,38,1.916,0.951,0.83
NM_001328218.1,1473,0.504,35,1.901,0.975,0.678
XM_021469328.1,1284,0.529,31,1.913,0.921,0.899
XM_005163985.4,1266,0.526,31,1.938,0.923,0.898
NM_131396.1,1284,0.528,31,1.911,0.921,0.9
XM_005163986.4,1242,0.527,31,1.977,0.952,0.841
XM_009299516.3,1224,0.525,31,2.005,0.955,0.837
NM_001346537.1,585,0.46,12,1.603,0.937,0.769
NM_001007282.2,561,0.455,11,1.529,0.898,0.799
XM_017353833.2,1650,0.487,40,1.939,0.979,0.704
NM_001077372.2,1629,0.482,40,1.953,0.987,0.682
NM_001177338.1,1584,0.454,44,2.181,0.989,0.71
XM_009302206.3,4524,0.474,108,1.91,0.981,0.657
XM_021477583.1,1587,0.469,37,1.865,0.945,0.764
NM_001114442.1,1587,0.469,37,1.865,0.945,0.764
XM_021477582.1,1587,0.469,37,1.865,0.945,0.764
NM_001077328.1,1023,0.468,26,2.033,0.962,0.736
NM_001020663.1,489,0.489,13,2.119,0.933,1.016
NM_001384147.1,1899,0.519,44,1.844,0.982,0.706
