target,probe
XM_005159502.4:201-1640,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_021467985.1:383-1630,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_021467986.1:378-1625,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_021467988.1:320-1567,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_021467987.1:338-1585,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_021467989.1:333-1580,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_021467990.1:275-1522,probe_f6aa3601cdb5e5f5b0c8cb366eb6658677fb2ec4ae0d0cf44e29d10484f716d4
XM_005160347.4:1044-2549,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
NM_200479.2:222-1556,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
XM_009294543.3:364-1797,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
NM_001020522.1:71-1576,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
NM_200461.1:242-1576,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
XM_009294540.3:277-1782,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
NM_001430839.1:71-1576,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
XM_021468515.1:57-1562,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
NM_001037418.1:82-972,probe_e5753f4efa7644ea8699055bc4b4e8fd4ad5b40a1c7dddaa9df1376b6825f70c
NM_001013565.1:46-1521,probe_cbbe851a559313c5cb8dafa80c09a5844abe346d430e6894100d1fbab7ea5a05
NM_001177498.1:48-1625,probe_e6485b1fbd361aad1864d1d1bab9f77f568d11fff60e21c05b4f0afa307633ae
NM_001177491.2:370-1944,probe_e6485b1fbd361aad1864d1d1bab9f77f568d11fff60e21c05b4f0afa307633ae
NM_001076723.1:57-1631,probe_e6485b1fbd361aad1864d1d1bab9f77f568d11fff60e21c05b4f0afa307633ae
NM_001430813.1:241-2382,probe_e74837913a85ed946133289e23c4138159d25f07cd4c9f5e6a964a10bad20f3e
XM_005157852.4:294-2537,probe_e74837913a85ed946133289e23c4138159d25f07cd4c9f5e6a964a10bad20f3e
XM_005157853.4:294-2534,probe_e74837913a85ed946133289e23c4138159d25f07cd4c9f5e6a964a10bad20f3e
XM_005157854.4:294-2435,probe_e74837913a85ed946133289e23c4138159d25f07cd4c9f5e6a964a10bad20f3e
XM_005163986.4:971-2212,probe_ef79dc6ab6c960ab3aec6e9e73512a9fa6c1570e9d42e39146eacde9480dabde
NM_131396.1:366-1649,probe_ef79dc6ab6c960ab3aec6e9e73512a9fa6c1570e9d42e39146eacde9480dabde
XM_021469328.1:189-1472,probe_ef79dc6ab6c960ab3aec6e9e73512a9fa6c1570e9d42e39146eacde9480dabde
XM_001918962.7:161-6970,probe_c5430c9f45f50099c58db07aaeb450293f8e0e2e22ee539b3b7632ab2e05f269
XM_005170566.4:161-6934,probe_c5430c9f45f50099c58db07aaeb450293f8e0e2e22ee539b3b7632ab2e05f269
XM_005170565.4:161-6976,probe_c5430c9f45f50099c58db07aaeb450293f8e0e2e22ee539b3b7632ab2e05f269
NM_199277.2:299-2194,probe_ee82c8770e689db31ecd27dcd9f3e412b9caeaf2b47e4e79ad0931306ba6a6c4
NM_199857.1:117-2639,probe_f7310327caa44efd673f5dfa8c1d82a16f6c31a9e7cd8787a9a9605290f30f9c
XM_009298837.3:278-4477,probe_5671fa25f7e63df21b75382b2f6b9f87e72605a49b14b4f8441a3d9580eac8c3
NM_182857.2:93-4292,probe_5671fa25f7e63df21b75382b2f6b9f87e72605a49b14b4f8441a3d9580eac8c3
XM_021478636.1:278-4534,probe_5671fa25f7e63df21b75382b2f6b9f87e72605a49b14b4f8441a3d9580eac8c3
XM_021478637.1:278-4531,probe_5671fa25f7e63df21b75382b2f6b9f87e72605a49b14b4f8441a3d9580eac8c3
XM_021477364.1:122-1972,probe_f9b62df6821dc51c8f4849a7b90a2263062747e6cf162c838c21d97fc3c23ca5
XM_021477365.1:290-1948,probe_f9b62df6821dc51c8f4849a7b90a2263062747e6cf162c838c21d97fc3c23ca5
NM_001201361.1:70-1920,probe_f9b62df6821dc51c8f4849a7b90a2263062747e6cf162c838c21d97fc3c23ca5
XM_009303354.3:368-4474,probe_f78db1024703e3371354425a42bb3712403dd0f69b8fd6c74cb9dc0519bbd7ac
NM_213150.1:6-1694,probe_a9e8ba069d415d7a2803d72b475cd7f740b4d34aa2f64de4169cf9c536b84ee1
XM_001922682.7:326-4342,probe_eb8abb2d80012668df8b558e85121695a74bb62253ce0841e9fb5a75d3084bde
NM_001004540.1:81-1544,probe_fb6925b8df514befb1be4efb1bd29c9098f8d5c9da092532274985115925ac61
NM_001078168.2:47-913,probe_fe9e09454bcee57fd21c23522bafaa5b1df256186b9e7b4e08341c32a83782cb
XM_017351367.1:118-984,probe_fe9e09454bcee57fd21c23522bafaa5b1df256186b9e7b4e08341c32a83782cb
NM_201068.1:64-1434,probe_c3b271f3907c58a0696218e8fc2af9ca0948f5dd7fa37221ff1fbca8f13204a4
NM_001198772.1:59-2770,probe_dd85031015ae0df202793534e945962dff133a881716e9ec286664e1cca7bce6
NM_001308559.1:1-2154,probe_888b4e43a55437027e0464bc3f68eb2c43481f8a56d57d83bd93b00aa9e9eb95
NM_213051.2:183-1982,probe_f68a716c74de614bda913b1ec3a9e6bf8d25e83e66c43a24b6228e437dad2236
NM_001328218.1:128-1600,probe_ffd1b76209d2b27b7cd515286a6519058f828022ca0c4eb7092cf15eef7315b2
NM_131802.1:26-3289,probe_fb7610de014d8f1645f2c6ddb6df4bc62dc548155d44e50819d70758f57a6035
XM_021470228.1:1-4515,probe_98db5f8663fb8e7aedddbbd0d1257e6d833ec1684330d1a7fcfa85972775b2e8
NM_131777.1:196-4713,probe_98db5f8663fb8e7aedddbbd0d1257e6d833ec1684330d1a7fcfa85972775b2e8
XM_009297338.3:322-4629,probe_98db5f8663fb8e7aedddbbd0d1257e6d833ec1684330d1a7fcfa85972775b2e8
XM_009297336.3:460-4977,probe_98db5f8663fb8e7aedddbbd0d1257e6d833ec1684330d1a7fcfa85972775b2e8
NM_181330.3:51-1778,probe_cd491dccfe71e37f4f6a8015930c31c345480aca4e529c8dc7d52ea571ae7704
XM_005163733.4:375-1886,probe_a447dcc90e8ca1955b6e96419a63bfc9f65908730f00d08c7320f9c6d98ba8f1
NM_200512.1:10-1377,probe_a447dcc90e8ca1955b6e96419a63bfc9f65908730f00d08c7320f9c6d98ba8f1
XM_681540.8:319-18060,probe_a19ec5ec01e91f498436d0730063a7a2eeaa7cc67cfd6c5e292ab446de8c1db0
NM_001130623.2:109-1632,probe_f7806bb2df8cb62b52bd78aeecacef2987f3272801f1741fa0a603e5b068712a
NM_001001946.4:96-1229,probe_add03abf32a9aa3266dde67baaad0f6ac6dfed45bf60f7245a7f3b2f8bb667cc
XM_009306722.3:272-1507,probe_ccecfdc51003e38508c6376cb8fcccc3f82dc6ade4dc178c883bcbabb93514ce
XM_009306721.3:1288-2547,probe_ccecfdc51003e38508c6376cb8fcccc3f82dc6ade4dc178c883bcbabb93514ce
XM_001920978.7:615-1844,probe_ccecfdc51003e38508c6376cb8fcccc3f82dc6ade4dc178c883bcbabb93514ce
XM_009306720.3:618-1877,probe_ccecfdc51003e38508c6376cb8fcccc3f82dc6ade4dc178c883bcbabb93514ce
NM_201326.2:25-2073,probe_f64dff556c0ec427ac3d1ec5eb85497f0e458a1b37c5834e81eb2ff9dfa3ce16
NM_200479.2:222-1556,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
XM_005160347.4:1044-2549,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
NM_001020522.1:71-1576,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
XM_009294543.3:364-1797,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
NM_200461.1:242-1576,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
XM_009294540.3:277-1782,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
NM_001430839.1:71-1576,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
XM_021468515.1:57-1562,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
NM_001037418.1:82-972,probe_ce2b6fd0e590e05338554d975de9956cf1f9e243e7779034463ba0caae999a92
NM_001100957.2:200-850,probe_f6e8bd0aaf6538edfe728073949297a4f5f5636461843ed6568c74eb66fa8889
NM_001077458.1:29-1525,probe_fcf9432e7226171d30f931dad790ebc4eadae3efbd930076fcec13c4a97eb3bc
NM_212439.2:620-4816,probe_f6b9418aafe6fa3c924fbce409ae77a0f3455aefd560a89a38227c7d3751c058
XM_021470048.1:349-1842,probe_fb3c5462747cbc1aa6cf07af21423802b0d775c7e6ac65e3f7055cf39ada4f60
XM_009297119.3:196-1689,probe_fb3c5462747cbc1aa6cf07af21423802b0d775c7e6ac65e3f7055cf39ada4f60
NM_199610.2:95-1609,probe_d5bf7deeed8cefd5ebce17e7652cc6a3fe014d8242f4cdb153f50898fef89eb5
NM_001161333.1:221-1633,probe_e30f5515df4fd3f9708cb30f47b78f0ecdb0f8866fe814d43ec060b0fd679b4d
XM_005164753.4:243-1655,probe_e30f5515df4fd3f9708cb30f47b78f0ecdb0f8866fe814d43ec060b0fd679b4d
NM_001099236.1:117-758,probe_7f7099ffb881270c4c7e829b5eacf4acb64f882a0be5b1535afc2286860e6c7c
NM_001077787.1:27-1169,probe_9f93a88045da0a90889804f40087d67ec1c4595cd78890c53eb7a242851458bc
NM_001082936.1:1-1479,probe_accc63d6d3119f5b17ed7ed4b3ccbd8b568651ba0d05e85f4ec802ca58d4bb1b
XM_009294893.3:281-1477,probe_969ef56d9c62ec911ac4c5ba7ecc488511e47d07a9a6932a48a0cd2947972671
NM_001291499.1:38-2059,probe_db6aaf0afdff970a56f3184578654271e31dd098aaeb8bdc3f60fddc27919b44
XM_021473118.1:1-5112,probe_b50ff508a0058ff342dc0a65a62984038cc0cebc0a725d06f313750b94ae3aad
XM_009299214.3:609-5720,probe_b50ff508a0058ff342dc0a65a62984038cc0cebc0a725d06f313750b94ae3aad
XM_021473114.1:273-5384,probe_b50ff508a0058ff342dc0a65a62984038cc0cebc0a725d06f313750b94ae3aad
XM_021473111.1:278-5389,probe_b50ff508a0058ff342dc0a65a62984038cc0cebc0a725d06f313750b94ae3aad
XM_002661372.6:177-2948,probe_764e61c16bccc9d4577dd0b62d3d433621b9a8cfa3ecfeff8a90807fe1633c44
NM_200589.2:1-4704,probe_f32cda5f91f7d35be00c758170be3824e0800bc3cabd0f07e238a2b01f641bc7
NM_001077787.1:27-1169,probe_e4459b2b6676a6fa4fbc8f5f0118a79690adfe92fb33bb8888966b0b364d3bec
NM_001114569.2:1-2055,probe_e6d899e69098d656cc8c17c85b184c5b2a3c5f48c5651b675c6bf585506e277b
XM_005156538.4:98-2128,probe_e6d899e69098d656cc8c17c85b184c5b2a3c5f48c5651b675c6bf585506e277b
XM_005156539.4:98-2125,probe_e6d899e69098d656cc8c17c85b184c5b2a3c5f48c5651b675c6bf585506e277b
NM_001089475.1:99-1694,probe_fa7720cf3bc573da9a726d08483d236aae6a67c4ed2708705734e5682d2bee99
XM_021478590.1:150-2132,probe_fa7720cf3bc573da9a726d08483d236aae6a67c4ed2708705734e5682d2bee99
XM_021478589.1:150-2135,probe_fa7720cf3bc573da9a726d08483d236aae6a67c4ed2708705734e5682d2bee99
XM_021478588.1:150-2147,probe_fa7720cf3bc573da9a726d08483d236aae6a67c4ed2708705734e5682d2bee99
XM_021478587.1:150-2147,probe_fa7720cf3bc573da9a726d08483d236aae6a67c4ed2708705734e5682d2bee99
XM_001922682.7:326-4342,probe_d1225d1ceac94327b1a5145452ab52e289625378ec0d93bcb6c5b02f96f887b2
XM_021481358.1:16-1710,probe_c0e9dbf5f323cb5384df9cb8f832f41a67c3fe805397a62347687113cf667cdf
XM_005157572.4:155-2014,probe_c0e9dbf5f323cb5384df9cb8f832f41a67c3fe805397a62347687113cf667cdf
NM_200405.1:230-1945,probe_c0e9dbf5f323cb5384df9cb8f832f41a67c3fe805397a62347687113cf667cdf
XM_005157571.4:135-2015,probe_c0e9dbf5f323cb5384df9cb8f832f41a67c3fe805397a62347687113cf667cdf
NM_152954.1:40-1518,probe_d23381d5650861c161e9bcdce84dd1cef28b1417cbfa35f10e4d82efbeff39ae
NM_001033920.1:32-1753,probe_e69b625933b6eca35d5a7b9889561a2ee22b7759c04a8b472cb3aa6b5edbf3b6
NM_001077247.1:110-1060,probe_c6346b4d7f6e09a7fb4e5d49f6568281f0122434ded3c48b5a206f23754f8829
NM_001199376.1:1-1605,probe_db2464bb193ff79619a52daf92adf509d472086ed2912f22d4fee5f25cf19db4
NM_001128690.1:76-2034,probe_fe74c6b2b57a3cf86e810c21fb4390de782ac08f5e42c701a4d267fe2a6d5bc4
NM_131154.3:89-1642,probe_f02f295879f0bcfa966d9a3bb91297fa7897165eedd37154ac0c5dcf9778bf5e
NM_212631.1:30-1721,probe_ab0638678f775b255213e2e0370e718f33f73cad034cdf6b38d6ef0d32913c02
XM_005169927.4:128-1510,probe_b2558e56978a4c91a8a090cb2a47690c802aa4402db7b2f08de89aef1fc901dc
NM_001002574.1:170-1621,probe_b2558e56978a4c91a8a090cb2a47690c802aa4402db7b2f08de89aef1fc901dc
XM_009291620.3:128-1594,probe_b778d735c438b857145ad3430b19f934e605f1a6c24973b612ca85805369f6b3
NM_212649.1:66-1532,probe_b778d735c438b857145ad3430b19f934e605f1a6c24973b612ca85805369f6b3
XM_017359216.2:84-1550,probe_b778d735c438b857145ad3430b19f934e605f1a6c24973b612ca85805369f6b3
XM_003199465.5:235-4281,probe_08eccf13ba42f2f3b792d48c6e96ab8e41e00796c98168f5290cb194becfd13c
NM_001083547.1:106-2481,probe_dd2d7f891d26fcc6596a966f4ef16e45442ec3c8b12c57175305199eac4ff772
XM_017354073.2:224-1735,probe_f32115a5a5daaebbfa67c47252f5153df5b19c10c803e75b80e2393bfdc326dd
NM_001007400.2:143-1654,probe_f32115a5a5daaebbfa67c47252f5153df5b19c10c803e75b80e2393bfdc326dd
XM_017354812.1:156-962,probe_f32115a5a5daaebbfa67c47252f5153df5b19c10c803e75b80e2393bfdc326dd
XM_021474709.1:438-1949,probe_f32115a5a5daaebbfa67c47252f5153df5b19c10c803e75b80e2393bfdc326dd
NM_001077548.1:68-1591,probe_f32115a5a5daaebbfa67c47252f5153df5b19c10c803e75b80e2393bfdc326dd
NM_212659.1:56-1171,probe_bf6880a265dadd9fb721138581ee66409c42c44c0ec1f24c7f42aff56d140aad
XM_009301101.3:399-2486,probe_e4c65cd9309624f85f34ac3cbe698b98b068d0eddef878c9448ab9703b461626
XM_009301102.3:395-2482,probe_e4c65cd9309624f85f34ac3cbe698b98b068d0eddef878c9448ab9703b461626
NM_001045344.1:130-972,probe_41968e0b470957fe79cf0819b0ff5b4fc518a826937f4a71ff1b70d10cbf5f9c
NM_001102648.2:56-727,probe_f3900937de84ce13f2b8d1ca2ffccbfd54729bb6b8e64a9fa753b30a396ce83e
XM_017358729.1:219-890,probe_f3900937de84ce13f2b8d1ca2ffccbfd54729bb6b8e64a9fa753b30a396ce83e
NM_213394.1:26-697,probe_f3900937de84ce13f2b8d1ca2ffccbfd54729bb6b8e64a9fa753b30a396ce83e
XM_009292000.3:181-2148,probe_c79eb2ce757a64190fde411ded0a0f212c3aa027990b041dc9815629c8ad1ca8
XM_021474555.1:860-3289,probe_d986549f8e66726daf3488ee3ff4f9d34bb617dc56bf1d36514522c82c36e58a
XM_021474556.1:817-3246,probe_d986549f8e66726daf3488ee3ff4f9d34bb617dc56bf1d36514522c82c36e58a
XM_021473787.1:153-2582,probe_d986549f8e66726daf3488ee3ff4f9d34bb617dc56bf1d36514522c82c36e58a
XM_021473786.1:337-3315,probe_d986549f8e66726daf3488ee3ff4f9d34bb617dc56bf1d36514522c82c36e58a
XM_021473785.1:210-3272,probe_d986549f8e66726daf3488ee3ff4f9d34bb617dc56bf1d36514522c82c36e58a
